dataset,model,hook,extractor,n_folds,eval_accuracy_mean,eval_accuracy_std,eval_auroc_mean,eval_auroc_std,eval_n_designs_mean,eval_n_designs_std,train_n_designs_mean,train_n_designs_std,train_train_accuracy_mean,train_train_accuracy_std,train_train_auroc_mean,train_train_auroc_std
rf3_safeprotein,rf3,block12,identity,5,0.6798532278408439,0.07521824069250727,0.7475131271300627,0.09933788179763607,54.0,2.1213203435596424,216.0,2.1213203435596424,1.0,0.0,1.0,0.0
rf3_safeprotein,rf3,block12,sae_encode,5,0.5928907235408784,0.0673388390813506,0.6364641951335499,0.09137405219965843,54.0,2.1213203435596424,216.0,2.1213203435596424,0.8332813471391516,0.017604781906567484,0.9198884054801372,0.004852260952432544
rf3_safeprotein,rf3,block16,identity,5,0.7437564499484004,0.038989760874298944,0.7711920424823651,0.05397335243034641,54.0,2.1213203435596424,216.0,2.1213203435596424,1.0,0.0,1.0,0.0
rf3_safeprotein,rf3,block16,sae_encode,5,0.7088751289989681,0.10098133630735144,0.7396023222636126,0.10667728181119786,54.0,2.1213203435596424,216.0,2.1213203435596424,0.8609587254628737,0.019625223634566993,0.926773384821,0.01845321670539306
rf3_toxinpred3,rf3,block12,identity,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.925,0.03330891032358225,0.9859417320647268,0.004264594661843843
rf3_toxinpred3,rf3,block12,sae_encode,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.8054166666666667,0.015102370582866204,0.8857203625251753,0.016852737825934976
rf3_toxinpred3,rf3,block16,identity,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.8762500000000001,0.02798382779491674,0.9775861170914647,0.004888075586119815
rf3_toxinpred3,rf3,block16,sae_encode,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.8035416666666666,0.01410295108006358,0.8792251197999861,0.010933642713829466
rfd3_safeprotein,rfd3,block12,identity,5,0.728436911487759,0.13107267216497812,0.754745085995086,0.13020187857406065,55.0,2.23606797749979,220.0,2.23606797749979,1.0,0.0,1.0,0.0
rfd3_safeprotein,rfd3,block12,sae_encode,5,0.6988072818581293,0.11892203477337274,0.8025644963144964,0.10677248751401265,55.0,2.23606797749979,220.0,2.23606797749979,0.9272666331489863,0.008498401135249285,0.9749168286483254,0.004123465965159156
rfd3_safeprotein,rfd3,block6,identity,5,0.6281858129315757,0.07038413072665352,0.6549677518427519,0.09852931262095597,55.0,2.23606797749979,220.0,2.23606797749979,0.9617395676219205,0.015221003918088684,0.9951581724196856,0.0025692736786945528
rfd3_safeprotein,rfd3,block6,sae_encode,5,0.6155681104833647,0.10858683501836834,0.6349969287469288,0.09378279061372259,55.0,2.23606797749979,220.0,2.23606797749979,0.8081908831908832,0.03900617939482899,0.8922877595266575,0.026550651164447076
rfd3_safeprotein,rfd3,block8,identity,5,0.5988700564971753,0.08738987347291831,0.650107493857494,0.08252655543520938,55.0,2.23606797749979,220.0,2.23606797749979,0.9963381933970169,0.003861312812898211,1.0,0.0
rfd3_safeprotein,rfd3,block8,sae_encode,5,0.678782172002511,0.10520690530550882,0.6873771498771499,0.1044825458131576,55.0,2.23606797749979,220.0,2.23606797749979,0.8244595274007038,0.017895810896905267,0.9104272577751196,0.01747695990305025
