dataset,model,hook,extractor,train_train_accuracy,train_train_auroc,train_n_designs,eval_accuracy,eval_auroc,eval_n_designs
rf3_toxinpred3,rf3,block12,identity,0.8816666666666667,0.9753343982220988,1200,0.77,0.832225,400
rf3_toxinpred3,rf3,block12,sae_encode,0.7375,0.8281047294951038,1200,0.72,0.808525,400
rf3_toxinpred3,rf3,block16,identity,0.8375,0.9641725119799986,1200,0.7975,0.8466,400
rf3_toxinpred3,rf3,block16,sae_encode,0.7666666666666667,0.8400583373845406,1200,0.735,0.8331,400
rfd3_safeprotein,rfd3,block12,identity,1.0,1.0,220,0.8,0.8505509641873278,55
rfd3_safeprotein,rfd3,block12,sae_encode,0.8545454545454545,0.9366391184573003,220,0.7090909090909091,0.7369146005509641,55
rfd3_safeprotein,rfd3,block6,identity,0.9590909090909091,0.9948347107438017,220,0.6363636363636364,0.6721763085399449,55
rfd3_safeprotein,rfd3,block6,sae_encode,0.8590909090909091,0.928374655647383,220,0.6727272727272727,0.6652892561983471,55
rfd3_safeprotein,rfd3,block8,identity,0.9954545454545455,1.0,220,0.7454545454545455,0.78099173553719,55
rfd3_safeprotein,rfd3,block8,sae_encode,0.8363636363636363,0.90633608815427,220,0.6363636363636364,0.7176308539944903,55
