dataset,model,hook,extractor,feature_id,auroc,auroc_p,q_value,n_samples
rf3_toxinpred3,rf3,block16,identity,416,0.2676435863601639,3.923635700109488e-44,1.5066761088420433e-41,1097
rf3_toxinpred3,rf3,block16,identity,12,0.7311563303007154,1.064986832886861e-43,2.726366292190364e-41,479
rf3_toxinpred3,rf3,block16,identity,397,0.7293978748524204,4.5962589629854e-43,8.824817208931968e-41,1099
rf3_toxinpred3,rf3,block16,identity,447,0.7289006180984791,6.922414413764596e-43,1.063282853954242e-40,1069
rf3_toxinpred3,rf3,block16,identity,66,0.7261809847906104,6.488011889823903e-42,8.304655218974596e-40,1147
rf3_toxinpred3,rf3,block16,identity,637,0.28657823459962495,1.6512478471986804e-37,1.811654780926552e-35,681
rf3_toxinpred3,rf3,block16,identity,539,0.7111966108757553,9.125408957787144e-37,8.760392599475659e-35,576
rf3_toxinpred3,rf3,block16,identity,220,0.7032321689006181,3.586266812522013e-34,3.0567555098782764e-32,864
rf3_toxinpred3,rf3,block16,identity,642,0.7030904923953052,3.980150403487339e-34,3.0567555098782764e-32,780
rf3_toxinpred3,rf3,block16,identity,396,0.299287450517397,2.2641198527898003e-33,1.5374236722509845e-31,556
rf3_toxinpred3,rf3,block16,identity,233,0.700529203416904,2.5867111348279453e-33,1.5374236722509845e-31,998
rf3_toxinpred3,rf3,block16,identity,525,0.2994791304951733,2.602409861883177e-33,1.5374236722509845e-31,655
rf3_toxinpred3,rf3,block16,identity,332,0.6957427599138829,8.025668872329555e-32,4.40265263853507e-30,873
rf3_toxinpred3,rf3,block16,identity,449,0.30642405722619626,3.699151182560278e-31,1.8939654054708626e-29,642
rf3_toxinpred3,rf3,block16,identity,565,0.3070713243975276,5.820013590243244e-31,2.67045155230108e-29,8
rf3_toxinpred3,rf3,block16,identity,281,0.3070935481630669,5.91115577983312e-31,2.67045155230108e-29,0
rf3_toxinpred3,rf3,block16,identity,412,0.3084630877144246,1.5343910198006566e-30,6.546735017816134e-29,51
rf3_toxinpred3,rf3,block16,identity,670,0.6909757622057088,2.2637698420000033e-30,9.150395992926329e-29,1183
rf3_toxinpred3,rf3,block16,identity,270,0.6877338704076672,2.0943334091877327e-29,8.042240291280893e-28,1127
rf3_toxinpred3,rf3,block16,sae_encode,706,0.6870324328078339,1.4285212317523379e-34,4.5426975169724344e-32,544
rf3_toxinpred3,rf3,block16,sae_encode,753,0.3417501215362178,3.6846593176875216e-28,5.858608315123159e-26,438
rf3_toxinpred3,rf3,block16,sae_encode,540,0.34341829293700954,3.3893382287094357e-22,2.1556191134592012e-20,729
rf3_toxinpred3,rf3,block16,sae_encode,45,0.35006597680394475,2.4927919786659444e-20,1.3211797486929505e-18,750
rf3_toxinpred3,rf3,block16,sae_encode,495,0.35446072643933607,3.4983988420796413e-19,1.5892726168304656e-17,760
rf3_toxinpred3,rf3,block16,sae_encode,419,0.6430668796444198,6.681444898393215e-19,2.655874347111303e-17,714
rf3_toxinpred3,rf3,block16,sae_encode,58,0.3638419334676019,1.9565140901316703e-17,6.913016451798568e-16,691
rf3_toxinpred3,rf3,block16,sae_encode,624,0.63433849572887,4.326450734311629e-17,1.375811333511098e-15,681
rf3_toxinpred3,rf3,block16,sae_encode,111,0.631588304743385,3.806138928192301e-26,4.034507263883839e-24,285
rf3_toxinpred3,rf3,block16,sae_encode,200,0.6299284672546704,2.471013218124712e-16,6.548185028030487e-15,650
rf3_toxinpred3,rf3,block16,sae_encode,420,0.625830960483367,9.763864826514094e-15,2.069939343220988e-13,758
