dataset,model,hook,extractor,n_folds,eval_accuracy_mean,eval_accuracy_std,eval_auroc_mean,eval_auroc_std,eval_n_designs_mean,eval_n_designs_std,train_n_designs_mean,train_n_designs_std,train_train_accuracy_mean,train_train_accuracy_std,train_train_auroc_mean,train_train_auroc_std
rf3_safeprotein,rf3,block12,identity,5,0.6798532278408439,0.07521824069250727,0.7475131271300627,0.09933788179763607,54.0,2.1213203435596424,216.0,2.1213203435596424,1.0,0.0,1.0,0.0
rf3_safeprotein,rf3,block12,sae_encode,5,0.5928907235408784,0.0673388390813506,0.6364641951335499,0.09137405219965843,54.0,2.1213203435596424,216.0,2.1213203435596424,0.8332813471391516,0.017604781906567484,0.9198884054801372,0.004852260952432544
rf3_safeprotein,rf3,block16,identity,5,0.7437564499484004,0.038989760874298944,0.7711920424823651,0.05397335243034641,54.0,2.1213203435596424,216.0,2.1213203435596424,1.0,0.0,1.0,0.0
rf3_safeprotein,rf3,block16,sae_encode,4,0.724056874211673,0.10981683746979765,0.7430398346476976,0.12286013727092031,54.0,2.449489742783178,216.0,2.449489742783178,0.8597632216434069,0.022450041003525097,0.930247034056553,0.019328390576831337
