dataset,model,hook,extractor,fold,cell_name,train_train_accuracy,train_train_auroc,train_n_designs,eval_accuracy,eval_auroc,eval_n_designs
rf3_safeprotein,rf3,block12,identity,0,rf3_block12_identity__fold0,0.813953488372093,0.8807706288622319,215,0.6727272727272727,0.7479338842975206,55
rf3_safeprotein,rf3,block12,identity,1,rf3_block12_identity__fold1,0.786046511627907,0.8434205743366049,215,0.8,0.8443526170798898,55
rf3_safeprotein,rf3,block12,identity,2,rf3_block12_identity__fold2,0.7813953488372093,0.8857688113413305,215,0.6363636363636364,0.6666666666666666,55
rf3_safeprotein,rf3,block12,identity,3,rf3_block12_identity__fold3,0.7592592592592593,0.8502918724741805,216,0.8518518518518519,0.9451659451659452,54
rf3_safeprotein,rf3,block12,identity,4,rf3_block12_identity__fold4,0.7945205479452054,0.8725182863113897,219,0.6274509803921569,0.6825657894736842,51
rf3_safeprotein,rf3,block12,sae_encode,0,rf3_block12_sae_encode__fold0,0.813953488372093,0.871319520174482,215,0.7090909090909091,0.7162534435261708,55
rf3_safeprotein,rf3,block12,sae_encode,1,rf3_block12_sae_encode__fold1,0.7813953488372093,0.851326790258088,215,0.7636363636363637,0.8126721763085399,55
rf3_safeprotein,rf3,block12,sae_encode,2,rf3_block12_sae_encode__fold2,0.7906976744186046,0.876045074518357,215,0.6727272727272727,0.6707988980716253,55
rf3_safeprotein,rf3,block12,sae_encode,3,rf3_block12_sae_encode__fold3,0.7731481481481481,0.8514593623709026,216,0.7962962962962963,0.886002886002886,54
rf3_safeprotein,rf3,block12,sae_encode,4,rf3_block12_sae_encode__fold4,0.7990867579908676,0.8577150818530129,219,0.6862745098039216,0.7697368421052632,51
rf3_safeprotein,rf3,block16,identity,0,rf3_block16_identity__fold0,0.7813953488372093,0.8248818611414032,215,0.6909090909090909,0.7479338842975206,55
rf3_safeprotein,rf3,block16,identity,1,rf3_block16_identity__fold1,0.7906976744186046,0.821701199563795,215,0.7090909090909091,0.7699724517906336,55
rf3_safeprotein,rf3,block16,identity,2,rf3_block16_identity__fold2,0.8093023255813954,0.8752271901126863,215,0.7272727272727273,0.7300275482093664,55
rf3_safeprotein,rf3,block16,identity,3,rf3_block16_identity__fold3,0.7546296296296297,0.8339470139200719,216,0.8148148148148148,0.8888888888888888,54
rf3_safeprotein,rf3,block16,identity,4,rf3_block16_identity__fold4,0.7945205479452054,0.8557993730407524,219,0.7254901960784313,0.7450657894736842,51
rf3_safeprotein,rf3,block16,sae_encode,0,rf3_block16_sae_encode__fold0,0.786046511627907,0.851508542348237,215,0.6909090909090909,0.7231404958677686,55
rf3_safeprotein,rf3,block16,sae_encode,1,rf3_block16_sae_encode__fold1,0.8093023255813954,0.8589603780443476,215,0.7818181818181819,0.8650137741046832,55
rf3_safeprotein,rf3,block16,sae_encode,2,rf3_block16_sae_encode__fold2,0.7906976744186046,0.8660487095601599,215,0.6363636363636364,0.6804407713498623,55
rf3_safeprotein,rf3,block16,sae_encode,3,rf3_block16_sae_encode__fold3,0.7870370370370371,0.8518185900314325,216,0.7962962962962963,0.8961038961038961,54
rf3_safeprotein,rf3,block16,sae_encode,4,rf3_block16_sae_encode__fold4,0.7945205479452054,0.8563218390804598,219,0.6862745098039216,0.7072368421052632,51
rf3_toxinpred3,rf3,block12,identity,0,rf3_block12_identity__fold0,0.7322916666666667,0.81438381137579,960,,0.5,0
rf3_toxinpred3,rf3,block12,identity,1,rf3_block12_identity__fold1,0.7552083333333334,0.8365858740190291,960,,0.5,0
rf3_toxinpred3,rf3,block12,identity,2,rf3_block12_identity__fold2,0.75625,0.8307651573025905,960,,0.5,0
rf3_toxinpred3,rf3,block12,identity,3,rf3_block12_identity__fold3,0.7489583333333333,0.8215935134384332,960,,0.5,0
rf3_toxinpred3,rf3,block12,identity,4,rf3_block12_identity__fold4,0.7447916666666666,0.8226916799777763,960,,0.5,0
rf3_toxinpred3,rf3,block12,sae_encode,0,rf3_block12_sae_encode__fold0,0.8010416666666667,0.8762934926036531,960,,0.5,0
rf3_toxinpred3,rf3,block12,sae_encode,1,rf3_block12_sae_encode__fold1,0.7916666666666666,0.8733505799013821,960,,0.5,0
rf3_toxinpred3,rf3,block12,sae_encode,2,rf3_block12_sae_encode__fold2,0.8114583333333333,0.8829910063198834,960,,0.5,0
rf3_toxinpred3,rf3,block12,sae_encode,3,rf3_block12_sae_encode__fold3,0.8072916666666666,0.8783162025140635,960,,0.5,0
rf3_toxinpred3,rf3,block12,sae_encode,4,rf3_block12_sae_encode__fold4,0.8,0.878455101048684,960,,0.5,0
rf3_toxinpred3,rf3,block16,identity,0,rf3_block16_identity__fold0,0.7510416666666667,0.8186549413153691,960,,0.5,0
rf3_toxinpred3,rf3,block16,identity,1,rf3_block16_identity__fold1,0.7604166666666666,0.8334085700395861,960,,0.5,0
rf3_toxinpred3,rf3,block16,identity,2,rf3_block16_identity__fold2,0.7625,0.8357177581776513,960,,0.5,0
rf3_toxinpred3,rf3,block16,identity,3,rf3_block16_identity__fold3,0.7520833333333333,0.827093027293562,960,,0.5,0
rf3_toxinpred3,rf3,block16,identity,4,rf3_block16_identity__fold4,0.746875,0.8242629696506701,960,,0.5,0
rf3_toxinpred3,rf3,block16,sae_encode,0,rf3_block16_sae_encode__fold0,0.7958333333333333,0.8630981318147094,960,,0.5,0
rf3_toxinpred3,rf3,block16,sae_encode,1,rf3_block16_sae_encode__fold1,0.7947916666666667,0.8675211820265296,960,,0.5,0
rf3_toxinpred3,rf3,block16,sae_encode,2,rf3_block16_sae_encode__fold2,0.7958333333333333,0.870134210709077,960,,0.5,0
rf3_toxinpred3,rf3,block16,sae_encode,3,rf3_block16_sae_encode__fold3,0.79375,0.860602298770748,960,,0.5,0
rf3_toxinpred3,rf3,block16,sae_encode,4,rf3_block16_sae_encode__fold4,0.7854166666666667,0.8627508854781583,960,,0.5,0
rfd3_safeprotein,rfd3,block12,identity,0,rfd3_block12_identity__fold0,0.9227272727272727,0.9601411845730028,220,0.7818181818181819,0.7617079889807162,55
rfd3_safeprotein,rfd3,block12,identity,1,rfd3_block12_identity__fold1,0.8772727272727273,0.9353477961432507,220,0.8545454545454545,0.9352617079889807,55
rfd3_safeprotein,rfd3,block12,identity,2,rfd3_block12_identity__fold2,0.8727272727272727,0.9591942148760331,220,0.7818181818181819,0.859504132231405,55
rfd3_safeprotein,rfd3,block12,identity,3,rfd3_block12_identity__fold3,0.8909090909090909,0.9493801652892562,220,0.8545454545454545,0.9228650137741047,55
rfd3_safeprotein,rfd3,block12,identity,4,rfd3_block12_identity__fold4,0.8909090909090909,0.9446453168044077,220,0.8181818181818182,0.837465564738292,55
rfd3_safeprotein,rfd3,block12,sae_encode,0,rfd3_block12_sae_encode__fold0,0.8909090909090909,0.9450757575757576,220,0.7636363636363637,0.8471074380165289,55
rfd3_safeprotein,rfd3,block12,sae_encode,1,rfd3_block12_sae_encode__fold1,0.8818181818181818,0.9461088154269972,220,0.8727272727272727,0.8884297520661157,55
rfd3_safeprotein,rfd3,block12,sae_encode,2,rfd3_block12_sae_encode__fold2,0.8636363636363636,0.9447314049586777,220,0.8181818181818182,0.90633608815427,55
rfd3_safeprotein,rfd3,block12,sae_encode,3,rfd3_block12_sae_encode__fold3,0.8727272727272727,0.9384469696969697,220,0.8,0.8966942148760331,55
rfd3_safeprotein,rfd3,block12,sae_encode,4,rfd3_block12_sae_encode__fold4,0.8863636363636364,0.9412017906336089,220,0.8,0.8484848484848485,55
rfd3_safeprotein,rfd3,block6,identity,0,rfd3_block6_identity__fold0,0.7636363636363637,0.8211949035812672,220,0.6363636363636364,0.6267217630853994,55
rfd3_safeprotein,rfd3,block6,identity,1,rfd3_block6_identity__fold1,0.7181818181818181,0.8060433884297521,220,0.7090909090909091,0.7796143250688705,55
rfd3_safeprotein,rfd3,block6,identity,2,rfd3_block6_identity__fold2,0.7363636363636363,0.8285123966942148,220,0.6727272727272727,0.7341597796143251,55
rfd3_safeprotein,rfd3,block6,identity,3,rfd3_block6_identity__fold3,0.7272727272727273,0.8118112947658402,220,0.7090909090909091,0.8016528925619835,55
rfd3_safeprotein,rfd3,block6,identity,4,rfd3_block6_identity__fold4,0.740909090909091,0.8595902203856749,220,0.6181818181818182,0.6680440771349863,55
rfd3_safeprotein,rfd3,block6,sae_encode,0,rfd3_block6_sae_encode__fold0,0.7863636363636364,0.8338498622589532,220,0.6181818181818182,0.6033057851239669,55
rfd3_safeprotein,rfd3,block6,sae_encode,1,rfd3_block6_sae_encode__fold1,0.7227272727272728,0.7987258953168044,220,0.7272727272727273,0.7630853994490359,55
rfd3_safeprotein,rfd3,block6,sae_encode,2,rfd3_block6_sae_encode__fold2,0.7545454545454545,0.8394455922865014,220,0.7090909090909091,0.7493112947658402,55
rfd3_safeprotein,rfd3,block6,sae_encode,3,rfd3_block6_sae_encode__fold3,0.7045454545454546,0.803288567493113,220,0.6727272727272727,0.8402203856749312,55
rfd3_safeprotein,rfd3,block6,sae_encode,4,rfd3_block6_sae_encode__fold4,0.7727272727272727,0.8409951790633609,220,0.6363636363636364,0.628099173553719,55
rfd3_safeprotein,rfd3,block8,identity,0,rfd3_block8_identity__fold0,0.8090909090909091,0.8657024793388429,220,0.6727272727272727,0.7823691460055097,55
rfd3_safeprotein,rfd3,block8,identity,1,rfd3_block8_identity__fold1,0.759090909090909,0.8558023415977961,220,0.7272727272727273,0.8443526170798898,55
rfd3_safeprotein,rfd3,block8,identity,2,rfd3_block8_identity__fold2,0.8,0.8916150137741047,220,0.7636363636363637,0.7451790633608816,55
rfd3_safeprotein,rfd3,block8,identity,3,rfd3_block8_identity__fold3,0.7909090909090909,0.8735365013774105,220,0.7636363636363637,0.8415977961432507,55
rfd3_safeprotein,rfd3,block8,identity,4,rfd3_block8_identity__fold4,0.8227272727272728,0.8984159779614325,220,0.6727272727272727,0.7134986225895317,55
rfd3_safeprotein,rfd3,block8,sae_encode,0,rfd3_block8_sae_encode__fold0,0.7727272727272727,0.8464187327823691,220,0.6,0.7327823691460055,55
rfd3_safeprotein,rfd3,block8,sae_encode,1,rfd3_block8_sae_encode__fold1,0.7454545454545455,0.8228305785123967,220,0.7454545454545455,0.8333333333333334,55
rfd3_safeprotein,rfd3,block8,sae_encode,2,rfd3_block8_sae_encode__fold2,0.759090909090909,0.8283402203856749,220,0.6909090909090909,0.8168044077134986,55
rfd3_safeprotein,rfd3,block8,sae_encode,3,rfd3_block8_sae_encode__fold3,0.740909090909091,0.8333333333333334,220,0.6909090909090909,0.7878787878787878,55
rfd3_safeprotein,rfd3,block8,sae_encode,4,rfd3_block8_sae_encode__fold4,0.7954545454545454,0.8715564738292011,220,0.6,0.6225895316804407,55
