dataset,model,hook,extractor,n_folds,eval_accuracy_mean,eval_accuracy_std,eval_auroc_mean,eval_auroc_std,eval_n_designs_mean,eval_n_designs_std,train_n_designs_mean,train_n_designs_std,train_train_accuracy_mean,train_train_accuracy_std,train_train_auroc_mean,train_train_auroc_std
rf3_safeprotein,rf3,block12,identity,5,0.7176787482669835,0.1019228174713729,0.7773369805367413,0.11699540162529695,54.0,1.7320508075688772,216.0,1.7320508075688772,0.7870350312083348,0.01990548286572182,0.8665540346651476,0.01875170923461001
rf3_safeprotein,rf3,block12,sae_encode,5,0.7256050703109527,0.05258160488995611,0.7710928492028971,0.08366784448591971,54.0,1.7320508075688772,216.0,1.7320508075688772,0.7916562835533846,0.01582035146571486,0.8615731658349685,0.011473770182853546
rf3_safeprotein,rf3,block16,identity,5,0.7335155476331947,0.0477619698096804,0.7763777125320187,0.06449344500287107,54.0,1.7320508075688772,216.0,1.7320508075688772,0.786109105282409,0.020266411185894888,0.8423113275557418,0.022715120497161255
rf3_safeprotein,rf3,block16,sae_encode,5,0.7183323430382254,0.06820454170387522,0.7743871559062947,0.09872874043346398,54.0,1.7320508075688772,216.0,1.7320508075688772,0.79352081932203,0.009433056934336504,0.8569316118129272,0.005982513282402771
rf3_toxinpred3,rf3,block12,identity,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.7474999999999999,0.009704845582376763,0.8252040072227238,0.008615355095667099
rf3_toxinpred3,rf3,block12,sae_encode,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.8022916666666667,0.007561954755367295,0.8778812764775333,0.0035240616996873525
rf3_toxinpred3,rf3,block16,identity,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.7545833333333333,0.006612737603376601,0.8278274532953678,0.006906259415860473
rf3_toxinpred3,rf3,block16,sae_encode,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.7931249999999999,0.004394796481193529,0.8648213417598445,0.0038914097513164936
rfd3_safeprotein,rfd3,block12,identity,5,0.8181818181818181,0.03636363636363632,0.8633608815426997,0.07023037645872994,55.0,0.0,220.0,0.0,0.8909090909090909,0.0195507392432787,0.9497417355371901,0.010377711863895698
rfd3_safeprotein,rfd3,block12,sae_encode,5,0.8109090909090909,0.0398343678185575,0.8774104683195592,0.027771136575283704,55.0,0.0,220.0,0.0,0.8790909090909091,0.010946904162538443,0.9431129476584023,0.0031965263177932894
rfd3_safeprotein,rfd3,block6,identity,5,0.6690909090909091,0.04146092454905958,0.722038567493113,0.07382586029199688,55.0,0.0,220.0,0.0,0.7372727272727273,0.01712858516492436,0.8254304407713497,0.02095034431288393
rfd3_safeprotein,rfd3,block6,sae_encode,5,0.6727272727272727,0.046354722850843515,0.7168044077134986,0.09897056054087201,55.0,0.0,220.0,0.0,0.7481818181818183,0.03410605724055283,0.8232610192837466,0.020551371976867974
rfd3_safeprotein,rfd3,block8,identity,5,0.72,0.045636001447313224,0.7853994490358127,0.05794463142516996,55.0,0.0,220.0,0.0,0.7963636363636364,0.023923086121710516,0.8770144628099172,0.017756774843225
rfd3_safeprotein,rfd3,block8,sae_encode,5,0.6654545454545454,0.06376610151545524,0.7586776859504132,0.08514023577006034,55.0,0.0,220.0,0.0,0.7627272727272728,0.022128475353887393,0.8404958677685951,0.019435571037166012
