dataset,model,hook,extractor,n_folds,eval_accuracy_mean,eval_accuracy_std,eval_auroc_mean,eval_auroc_std,eval_n_designs_mean,eval_n_designs_std,train_n_designs_mean,train_n_designs_std,train_train_accuracy_mean,train_train_accuracy_std,train_train_auroc_mean,train_train_auroc_std
rf3_safeprotein,rf3,block12,identity,5,0.6987616099071208,0.084937685370935,0.7384167690417691,0.0952113579994059,54.0,2.1213203435596424,216.0,2.1213203435596424,0.7869184156180105,0.023152034563309633,0.8684849739629324,0.018192984895281823
rf3_safeprotein,rf3,block12,sae_encode,5,0.6625042999656003,0.05836629690278207,0.7056057799001347,0.0758840675820966,54.0,2.1213203435596424,216.0,2.1213203435596424,0.7913418869380668,0.042237675758253955,0.8584693932633629,0.022997977742526456
rf3_safeprotein,rf3,block16,identity,5,0.734823988074762,0.08476151602555874,0.7764193647459777,0.09843584103129512,54.0,2.1213203435596424,216.0,2.1213203435596424,0.7710722733151828,0.032218401815453275,0.842033867379741,0.029784184689574125
rf3_safeprotein,rf3,block16,sae_encode,5,0.6994037381034285,0.14386906674228833,0.7582441348973608,0.1265884041037938,54.0,2.1213203435596424,216.0,2.1213203435596424,0.7941718295567417,0.03894744083883018,0.8605894510140166,0.020849257372353734
rf3_toxinpred3,rf3,block12,identity,5,0.7408333333333333,0.06410440702479045,0.8065837905410097,0.06864414555008921,240.0,0.0,960.0,0.0,0.755625,0.012855196474145758,0.832695846933815,0.011236595731532123
rf3_toxinpred3,rf3,block12,sae_encode,5,0.7708333333333333,0.049913118961295584,0.8478227654698243,0.0624479725148509,240.0,0.0,960.0,0.0,0.8022916666666667,0.017264662649148096,0.8780036808111674,0.015816733826436745
rf3_toxinpred3,rf3,block16,identity,5,0.7366666666666667,0.04615418002015998,0.8028474199597193,0.06084388834127564,240.0,0.0,960.0,0.0,0.7518749999999998,0.013689101250832943,0.8314084311410515,0.012271204870253417
rf3_toxinpred3,rf3,block16,sae_encode,5,0.7641666666666667,0.047925723781702026,0.8203625251753595,0.0601544040597206,240.0,0.0,960.0,0.0,0.7931250000000001,0.01656217242862648,0.8662381068129731,0.009693777069663172
rfd3_safeprotein,rfd3,block12,identity,5,0.7170119271814187,0.1346411013221517,0.7633753071253071,0.1357257087183146,55.0,2.23606797749979,220.0,2.23606797749979,0.8909208982738395,0.004023048972066943,0.9537309627050581,0.009644443864795951
rfd3_safeprotein,rfd3,block12,sae_encode,5,0.7173258003766477,0.11095730432229042,0.8167690417690417,0.10159048519456722,55.0,2.23606797749979,220.0,2.23606797749979,0.89268895592425,0.015851365387457423,0.9521866188909774,0.007150476546249732
rfd3_safeprotein,rfd3,block6,identity,5,0.6383553044569995,0.06840326045321608,0.5919379606879607,0.026828089435163686,55.0,2.23606797749979,220.0,2.23606797749979,0.7308488352606,0.044072863463989795,0.8149800548957622,0.04005823285384725
rfd3_safeprotein,rfd3,block6,sae_encode,5,0.6565599497802888,0.08869275667137294,0.5985718673218674,0.10567613822480779,55.0,2.23606797749979,220.0,2.23606797749979,0.7406569465392995,0.05082254748844013,0.8167385349025974,0.028723661165397173
rfd3_safeprotein,rfd3,block8,identity,5,0.7105461393596987,0.11460743518248334,0.717828624078624,0.10804955535145153,55.0,2.23606797749979,220.0,2.23606797749979,0.8061295458354282,0.04195735674558431,0.8809446823735476,0.037561856001419154
rfd3_safeprotein,rfd3,block8,sae_encode,5,0.6559322033898305,0.12372485624139397,0.6989097051597051,0.1357637011508929,55.0,2.23606797749979,220.0,2.23606797749979,0.757114127702363,0.036973929083063635,0.8362250619446343,0.03303376585258424
