dataset,model,hook,extractor,fold,cell_name,train_train_accuracy,train_train_auroc,train_n_designs,eval_accuracy,eval_auroc,eval_n_designs
rf3_safeprotein,rf3,block12,identity,0,rf3_block12_identity__fold0,0.7746478873239436,0.8418787767808094,213,0.7192982456140351,0.727027027027027,57
rf3_safeprotein,rf3,block12,identity,1,rf3_block12_identity__fold1,0.7731481481481481,0.8639069264069265,216,0.8333333333333334,0.8678977272727273,54
rf3_safeprotein,rf3,block12,identity,2,rf3_block12_identity__fold2,0.817351598173516,0.8855569155446756,219,0.6078431372549019,0.6,51
rf3_safeprotein,rf3,block12,identity,3,rf3_block12_identity__fold3,0.8055555555555556,0.8856421356421357,216,0.6666666666666666,0.7485795454545454,54
rf3_safeprotein,rf3,block12,identity,4,rf3_block12_identity__fold4,0.7638888888888888,0.8654401154401155,216,0.6666666666666666,0.7485795454545454,54
rf3_safeprotein,rf3,block12,sae_encode,0,rf3_block12_sae_encode__fold0,0.7323943661971831,0.8275041201245193,213,0.6491228070175439,0.7662162162162162,57
rf3_safeprotein,rf3,block12,sae_encode,1,rf3_block12_sae_encode__fold1,0.7777777777777778,0.8430735930735931,216,0.6296296296296297,0.6761363636363636,54
rf3_safeprotein,rf3,block12,sae_encode,2,rf3_block12_sae_encode__fold2,0.8493150684931506,0.8852072040566532,219,0.6078431372549019,0.5870967741935483,51
rf3_safeprotein,rf3,block12,sae_encode,3,rf3_block12_sae_encode__fold3,0.7962962962962963,0.8658008658008658,216,0.6666666666666666,0.7315340909090909,54
rf3_safeprotein,rf3,block12,sae_encode,4,rf3_block12_sae_encode__fold4,0.8009259259259259,0.8707611832611832,216,0.7592592592592593,0.7670454545454546,54
rf3_safeprotein,rf3,block16,identity,0,rf3_block16_identity__fold0,0.7230046948356808,0.7905145577733016,213,0.8070175438596491,0.8364864864864865,57
rf3_safeprotein,rf3,block16,identity,1,rf3_block16_identity__fold1,0.7731481481481481,0.8671536796536796,216,0.8148148148148148,0.8892045454545454,54
rf3_safeprotein,rf3,block16,identity,2,rf3_block16_identity__fold2,0.8036529680365296,0.8539080258786501,219,0.6078431372549019,0.632258064516129,51
rf3_safeprotein,rf3,block16,identity,3,rf3_block16_identity__fold3,0.7962962962962963,0.8521825396825397,216,0.7037037037037037,0.7869318181818182,54
rf3_safeprotein,rf3,block16,identity,4,rf3_block16_identity__fold4,0.7592592592592593,0.8464105339105339,216,0.7407407407407407,0.7372159090909091,54
rf3_safeprotein,rf3,block16,sae_encode,0,rf3_block16_sae_encode__fold0,0.7511737089201878,0.8270463285112617,213,0.8771929824561403,0.9,57
rf3_safeprotein,rf3,block16,sae_encode,1,rf3_block16_sae_encode__fold1,0.7638888888888888,0.8672438672438673,216,0.7777777777777778,0.8252840909090909,54
rf3_safeprotein,rf3,block16,sae_encode,2,rf3_block16_sae_encode__fold2,0.8493150684931506,0.8834586466165414,219,0.49019607843137253,0.5645161290322581,51
rf3_safeprotein,rf3,block16,sae_encode,3,rf3_block16_sae_encode__fold3,0.7962962962962963,0.8669733044733045,216,0.6851851851851852,0.78125,54
rf3_safeprotein,rf3,block16,sae_encode,4,rf3_block16_sae_encode__fold4,0.8101851851851852,0.8582251082251082,216,0.6666666666666666,0.7201704545454546,54
rf3_toxinpred3,rf3,block12,identity,0,rf3_block12_identity__fold0,0.775,0.8510920897284534,960,0.6333333333333333,0.694562122369609,240
rf3_toxinpred3,rf3,block12,identity,1,rf3_block12_identity__fold1,0.746875,0.8290115633030072,960,0.7708333333333334,0.8468643655809431,240
rf3_toxinpred3,rf3,block12,identity,2,rf3_block12_identity__fold2,0.7489583333333333,0.8213634627404681,960,0.8,0.8699215223279394,240
rf3_toxinpred3,rf3,block12,identity,3,rf3_block12_identity__fold3,0.7625,0.834081359816654,960,0.7375,0.793041183415515,240
rf3_toxinpred3,rf3,block12,identity,4,rf3_block12_identity__fold4,0.7447916666666666,0.8279307590804917,960,0.7625,0.8285297590110424,240
rf3_toxinpred3,rf3,block12,sae_encode,0,rf3_block12_sae_encode__fold0,0.8291666666666667,0.9046027501909855,960,0.7125,0.7409542329328426,240
rf3_toxinpred3,rf3,block12,sae_encode,1,rf3_block12_sae_encode__fold1,0.7916666666666666,0.8745181957080352,960,0.8041666666666667,0.8673518994374609,240
rf3_toxinpred3,rf3,block12,sae_encode,2,rf3_block12_sae_encode__fold2,0.7864583333333334,0.8636450447947774,960,0.8375,0.9017292867560247,240
