dataset,model,hook,extractor,feature_id,auroc,auroc_p,q_value,n_samples
rf3_safeprotein,rf3,block12,identity,201,0.7666244822825586,1.396822517677962e-13,7.324144936371457e-11,262
rf3_safeprotein,rf3,block12,identity,692,0.7651288541187299,1.9073294105134003e-13,7.324144936371457e-11,138
rf3_safeprotein,rf3,block12,identity,206,0.7573630924988495,9.35504495050421e-13,2.3948915073290777e-10,263
rf3_safeprotein,rf3,block12,identity,546,0.7443051081454211,1.2236947566357514e-11,2.3494939327406428e-09,250
rf3_safeprotein,rf3,block12,identity,667,0.7409687068568799,2.3121064091080612e-11,3.551395444389982e-09,203
rf3_safeprotein,rf3,block12,identity,703,0.26023930050621263,2.9050987310208498e-11,3.7185263757066878e-09,35
rf3_safeprotein,rf3,block12,identity,574,0.7345835250805338,7.632878357144435e-11,7.968210091746641e-09,3
rf3_safeprotein,rf3,block12,identity,759,0.2662793373216751,8.94860713307466e-11,7.968210091746641e-09,33
rf3_safeprotein,rf3,block12,identity,694,0.26685457892314773,9.946405504779321e-11,7.968210091746641e-09,73
rf3_safeprotein,rf3,block12,identity,582,0.7329153244362633,1.0375273556961773e-10,7.968210091746641e-09,223
rf3_safeprotein,rf3,block12,identity,691,0.26794753796594567,1.2150538908350939e-10,8.483285346921382e-09,106
rf3_safeprotein,rf3,block12,identity,442,0.2689829728485964,1.4675419213183716e-10,9.392268296437578e-09,13
rf3_safeprotein,rf3,block12,identity,134,0.7287735849056604,2.2031439173009204e-10,1.3015496372977745e-08,20
rf3_safeprotein,rf3,block12,identity,638,0.27329728485964105,3.194918773985478e-10,1.7526411560148906e-08,246
rf3_safeprotein,rf3,block12,identity,502,0.7246318453750575,4.618236071340931e-10,2.332548287853342e-08,126
rf3_safeprotein,rf3,block12,identity,706,0.27565577542567876,4.859475599694463e-10,2.332548287853342e-08,231
rf3_safeprotein,rf3,block12,identity,222,0.7217556373676944,7.662934176089209e-10,3.3697124498151723e-08,232
rf3_safeprotein,rf3,block12,identity,740,0.7215830648872527,7.897763554254311e-10,3.3697124498151723e-08,234
rf3_safeprotein,rf3,block12,identity,745,0.7212379199263691,8.388668648606767e-10,3.390788169542104e-08,96
rf3_safeprotein,rf3,block12,identity,693,0.7202600092038656,9.946835577423485e-10,3.819584861730618e-08,244
rf3_safeprotein,rf3,block12,sae_encode,99,0.26052692130694893,3.066888409897217e-11,2.9099171156010684e-07,270
rf3_safeprotein,rf3,block12,sae_encode,17,0.2634606534744593,5.3116705478473136e-11,2.9099171156010684e-07,270
rf3_safeprotein,rf3,block12,sae_encode,504,0.7348136217211229,7.260272244513644e-11,2.9099171156010684e-07,251
rf3_safeprotein,rf3,block12,sae_encode,6,0.7315635066728026,1.3036978441238745e-10,3.9189157194363666e-07,244
rf3_safeprotein,rf3,block12,sae_encode,1985,0.7279107225034515,2.4608429183281544e-10,5.917835049995547e-07,235
rf3_safeprotein,rf3,block12,sae_encode,272,0.2759433962264151,5.112998358036691e-10,1.024644870950553e-06,269
rf3_safeprotein,rf3,block12,sae_encode,470,0.7215830648872527,7.826241321673422e-10,1.2259018305482705e-06,249
rf3_safeprotein,rf3,block12,sae_encode,125,0.280315232397607,1.09916520329989e-09,1.468484711608653e-06,270
rf3_safeprotein,rf3,block12,sae_encode,494,0.2815232397606995,1.3545855548358077e-09,1.4806851555768863e-06,270
rf3_safeprotein,rf3,block12,sae_encode,683,0.7169236079153244,1.7691974552036527e-09,1.77273585011406e-06,270
rf3_safeprotein,rf3,block12,sae_encode,204,0.7164921767142199,1.2910617019912252e-09,1.4806851555768863e-06,196
rf3_safeprotein,rf3,block12,sae_encode,223,0.2849171652093879,2.422158251746964e-09,2.08028791564325e-06,270
rf3_safeprotein,rf3,block12,sae_encode,485,0.7150828347906121,2.378314878370702e-09,2.08028791564325e-06,243
rf3_safeprotein,rf3,block12,sae_encode,169,0.2857225034514496,2.7767841359604972e-09,2.0867532781743137e-06,270
