dataset,model,hook,extractor,fold,cell_name,train_train_accuracy,train_train_auroc,train_n_designs,eval_accuracy,eval_auroc,eval_n_designs
rf3_toxinpred3,rf3,block16,sae_encode,4.0,rf3_block16_sae_encode__fold4,0.7979166666666667,0.8731465726786583,960,,0.5,0
rfd3_safeprotein,rfd3,block12,identity,,rfd3_block12_identity,1.0,1.0,220,0.8,0.8505509641873278,55
rfd3_safeprotein,rfd3,block12,identity,0.0,rfd3_block12_identity__fold0,1.0,1.0,220,0.8363636363636363,0.8443526170798898,55
rfd3_safeprotein,rfd3,block12,identity,1.0,rfd3_block12_identity__fold1,1.0,1.0,220,0.8545454545454545,0.953168044077135,55
rfd3_safeprotein,rfd3,block12,identity,2.0,rfd3_block12_identity__fold2,1.0,1.0,220,0.7818181818181819,0.878099173553719,55
rfd3_safeprotein,rfd3,block12,identity,3.0,rfd3_block12_identity__fold3,1.0,1.0,220,0.8545454545454545,0.9641873278236914,55
rfd3_safeprotein,rfd3,block12,identity,4.0,rfd3_block12_identity__fold4,1.0,1.0,220,0.8181818181818182,0.9228650137741047,55
rfd3_safeprotein,rfd3,block12,sae_encode,,rfd3_block12_sae_encode,0.9318181818181818,0.9799414600550964,220,0.7090909090909091,0.790633608815427,55
rfd3_safeprotein,rfd3,block12,sae_encode,0.0,rfd3_block12_sae_encode__fold0,0.9090909090909091,0.9696969696969697,220,0.7272727272727273,0.8539944903581267,55
rfd3_safeprotein,rfd3,block12,sae_encode,1.0,rfd3_block12_sae_encode__fold1,0.9272727272727272,0.9818353994490359,220,0.7636363636363637,0.8057851239669421,55
rfd3_safeprotein,rfd3,block12,sae_encode,2.0,rfd3_block12_sae_encode__fold2,0.9181818181818182,0.9680612947658402,220,0.8,0.9022038567493113,55
rfd3_safeprotein,rfd3,block12,sae_encode,3.0,rfd3_block12_sae_encode__fold3,0.8909090909090909,0.9680612947658402,220,0.7818181818181819,0.8553719008264463,55
rfd3_safeprotein,rfd3,block12,sae_encode,4.0,rfd3_block12_sae_encode__fold4,0.9090909090909091,0.9692665289256198,220,0.7454545454545455,0.8126721763085399,55
rfd3_safeprotein,rfd3,block6,identity,,rfd3_block6_identity,0.9590909090909091,0.9948347107438017,220,0.6363636363636364,0.6721763085399449,55
rfd3_safeprotein,rfd3,block6,identity,0.0,rfd3_block6_identity__fold0,0.9590909090909091,0.9961260330578512,220,0.6727272727272727,0.6652892561983471,55
rfd3_safeprotein,rfd3,block6,identity,1.0,rfd3_block6_identity__fold1,0.9681818181818181,0.9928546831955923,220,0.7454545454545455,0.8057851239669421,55
rfd3_safeprotein,rfd3,block6,identity,2.0,rfd3_block6_identity__fold2,0.9636363636363636,0.9964703856749312,220,0.6363636363636364,0.7272727272727273,55
rfd3_safeprotein,rfd3,block6,identity,3.0,rfd3_block6_identity__fold3,0.95,0.9909607438016529,220,0.8,0.8526170798898072,55
rfd3_safeprotein,rfd3,block6,identity,4.0,rfd3_block6_identity__fold4,0.9590909090909091,0.9939738292011019,220,0.7090909090909091,0.8085399449035813,55
rfd3_safeprotein,rfd3,block6,sae_encode,,rfd3_block6_sae_encode,0.8227272727272728,0.884383608815427,220,0.7090909090909091,0.7121212121212122,55
rfd3_safeprotein,rfd3,block6,sae_encode,0.0,rfd3_block6_sae_encode__fold0,0.8318181818181818,0.9116735537190083,220,0.7090909090909091,0.6749311294765841,55
rfd3_safeprotein,rfd3,block6,sae_encode,1.0,rfd3_block6_sae_encode__fold1,0.7772727272727272,0.8740530303030303,220,0.7454545454545455,0.8305785123966942,55
rfd3_safeprotein,rfd3,block6,sae_encode,2.0,rfd3_block6_sae_encode__fold2,0.8227272727272728,0.8920454545454546,220,0.7454545454545455,0.7892561983471075,55
rfd3_safeprotein,rfd3,block6,sae_encode,3.0,rfd3_block6_sae_encode__fold3,0.8,0.8705234159779615,220,0.8,0.8567493112947658,55
rfd3_safeprotein,rfd3,block6,sae_encode,4.0,rfd3_block6_sae_encode__fold4,0.8136363636363636,0.8855888429752066,220,0.6,0.6887052341597796,55
rfd3_safeprotein,rfd3,block8,identity,,rfd3_block8_identity,0.9954545454545455,1.0,220,0.7454545454545455,0.78099173553719,55
rfd3_safeprotein,rfd3,block8,identity,0.0,rfd3_block8_identity__fold0,1.0,1.0,220,0.7272727272727273,0.8181818181818182,55
rfd3_safeprotein,rfd3,block8,identity,1.0,rfd3_block8_identity__fold1,0.9954545454545455,1.0,220,0.7818181818181819,0.8512396694214877,55
rfd3_safeprotein,rfd3,block8,identity,2.0,rfd3_block8_identity__fold2,1.0,1.0,220,0.6909090909090909,0.7038567493112947,55
rfd3_safeprotein,rfd3,block8,identity,3.0,rfd3_block8_identity__fold3,0.9954545454545455,1.0,220,0.7454545454545455,0.7727272727272727,55
rfd3_safeprotein,rfd3,block8,identity,4.0,rfd3_block8_identity__fold4,1.0,1.0,220,0.6909090909090909,0.6983471074380165,55
rfd3_safeprotein,rfd3,block8,sae_encode,,rfd3_block8_sae_encode,0.8545454545454545,0.9255337465564738,220,0.6727272727272727,0.7603305785123967,55
rfd3_safeprotein,rfd3,block8,sae_encode,0.0,rfd3_block8_sae_encode__fold0,0.8454545454545455,0.9081439393939394,220,0.6909090909090909,0.7121212121212122,55
rfd3_safeprotein,rfd3,block8,sae_encode,1.0,rfd3_block8_sae_encode__fold1,0.8181818181818182,0.9199380165289256,220,0.7636363636363637,0.7837465564738292,55
rfd3_safeprotein,rfd3,block8,sae_encode,2.0,rfd3_block8_sae_encode__fold2,0.7727272727272727,0.9002238292011019,220,0.7454545454545455,0.8581267217630854,55
rfd3_safeprotein,rfd3,block8,sae_encode,3.0,rfd3_block8_sae_encode__fold3,0.8409090909090909,0.9297520661157025,220,0.7454545454545455,0.7672176308539945,55
rfd3_safeprotein,rfd3,block8,sae_encode,4.0,rfd3_block8_sae_encode__fold4,0.8454545454545455,0.918646694214876,220,0.6363636363636364,0.6790633608815427,55
