dataset,model,hook,extractor,n_folds,eval_accuracy_mean,eval_accuracy_std,eval_auroc_mean,eval_auroc_std,eval_n_designs_mean,eval_n_designs_std,train_n_designs_mean,train_n_designs_std,train_train_accuracy_mean,train_train_accuracy_std,train_train_auroc_mean,train_train_auroc_std
rf3_safeprotein,rf3,block12,identity,5,0.7253198653198653,0.06951145629137892,0.7956460969917909,0.07029875034115238,54.0,1.7320508075688772,216.0,1.7320508075688772,1.0,0.0,1.0,0.0
rf3_safeprotein,rf3,block12,sae_encode,5,0.7481283422459895,0.06129367711880535,0.770486650510574,0.07237413394801936,54.0,1.7320508075688772,216.0,1.7320508075688772,0.8323692376671031,0.009063403765956865,0.9137408642176151,0.011241820716036901
rf3_safeprotein,rf3,block16,identity,5,0.7511269558328382,0.08011383080477458,0.8019150838528828,0.06509495335200112,54.0,1.7320508075688772,216.0,1.7320508075688772,1.0,0.0,1.0,0.0
rf3_safeprotein,rf3,block16,sae_encode,5,0.7555515943751238,0.0516485722531231,0.7766162565504671,0.0802322975223051,54.0,1.7320508075688772,216.0,1.7320508075688772,0.8537045296331692,0.012462705455873278,0.9156968981088331,0.002088298300758619
rf3_toxinpred3,rf3,block12,identity,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.8981250000000001,0.021743154254717612,0.985519827765817,0.003469228126892327
rf3_toxinpred3,rf3,block12,sae_encode,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.8095833333333333,0.004739297152532204,0.8859599624973956,0.004876121561031476
rf3_toxinpred3,rf3,block16,identity,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.8975,0.030659348651304083,0.9766962983540524,0.0037108466900126814
rf3_toxinpred3,rf3,block16,sae_encode,5,,,0.5,0.0,0.0,0.0,960.0,0.0,0.8004166666666667,0.004074501503251658,0.8774081533439821,0.005405198867518214
rfd3_safeprotein,rfd3,block12,identity,5,0.8290909090909091,0.03042400096487543,0.9125344352617079,0.0506467666965571,55.0,0.0,220.0,0.0,1.0,0.0,1.0,0.0
rfd3_safeprotein,rfd3,block12,sae_encode,5,0.7636363636363637,0.02874797872880346,0.8460055096418733,0.03885420778135399,55.0,0.0,220.0,0.0,0.9109090909090909,0.013483997249264855,0.9713842975206612,0.0058873220809872225
rfd3_safeprotein,rfd3,block6,identity,5,0.7127272727272727,0.06350636071481086,0.771900826446281,0.074771950516773,55.0,0.0,220.0,0.0,0.96,0.006741998624632424,0.9940771349862259,0.0022990534273829855
rfd3_safeprotein,rfd3,block6,sae_encode,5,0.72,0.07452327829788802,0.7680440771349862,0.08245271565182169,55.0,0.0,220.0,0.0,0.809090909090909,0.02132007163556105,0.8867768595041323,0.016394245299866095
rfd3_safeprotein,rfd3,block8,identity,5,0.7272727272727273,0.03856946079199351,0.7688705234159781,0.06788132575485341,55.0,0.0,220.0,0.0,0.9981818181818183,0.0024896479886598317,1.0,0.0
rfd3_safeprotein,rfd3,block8,sae_encode,5,0.7163636363636364,0.05238131014868341,0.7600550964187327,0.06907957253402743,55.0,0.0,220.0,0.0,0.8245454545454546,0.031095693411794682,0.915340909090909,0.011402472715267425
